City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zhigansk,RU,66.7697,123.3711,-48.87,99,76,3.36,broken clouds
1,Sucua,EC,-2.4667,-78.1667,86.74,45,20,5.75,light rain
2,Ushuaia,AR,-54.8,-68.3,58.66,47,75,14.97,broken clouds
3,Castro,BR,-24.7911,-50.0119,72.66,59,85,7.67,overcast clouds
4,Saint-Philippe,RE,-21.3585,55.7679,78.35,87,88,12.93,overcast clouds
5,Shache,CN,38.4167,77.2406,27.43,50,69,3.69,broken clouds
6,Albany,US,42.6001,-73.9662,33.46,58,45,1.01,scattered clouds
7,Carnarvon,AU,-24.8667,113.6333,71.67,83,75,18.41,broken clouds
8,Hermanus,ZA,-34.4187,19.2345,65.8,85,100,13.2,overcast clouds
9,Kodiak,US,57.79,-152.4072,33.31,75,20,0.0,few clouds
10,Kapaa,US,22.0752,-159.319,75.18,76,62,3.0,light rain
11,Rikitea,PF,-23.1203,-134.9692,77.16,77,96,9.13,overcast clouds
12,Pacocha,PE,-17.5833,-71.3333,68.88,71,73,6.89,broken clouds
13,Pemba,MZ,-12.974,40.5178,79.5,88,20,7.0,few clouds
14,Beringovskiy,RU,63.05,179.3167,15.19,93,100,24.7,light snow
15,Atuona,PF,-9.8,-139.0333,78.73,78,24,21.25,few clouds
16,Hasaki,JP,35.7333,140.8333,28.8,48,70,12.71,broken clouds
17,Yeppoon,AU,-23.1333,150.7333,82.18,64,34,5.19,scattered clouds
18,Severo-Kurilsk,RU,50.6789,156.125,27.64,87,88,23.91,light snow
19,Baruun-Urt,MN,46.6806,113.2792,-6.38,88,3,5.19,clear sky
20,Faanui,PF,-16.4833,-151.75,82.29,68,70,15.32,broken clouds
21,Qaanaaq,GL,77.484,-69.3632,23.85,58,41,9.48,scattered clouds
22,Torbay,CA,47.6666,-52.7314,25.57,84,75,3.44,broken clouds
23,Jimeta,NG,9.2833,12.4667,77.18,24,2,2.71,clear sky
24,Saskylakh,RU,71.9167,114.0833,-29.58,100,38,4.52,scattered clouds
25,Mataura,NZ,-46.1927,168.8643,57.47,43,22,9.84,few clouds
26,Encheng,CN,22.1839,112.3026,67.96,60,100,3.22,overcast clouds
27,Klaksvik,FO,62.2266,-6.589,31.12,65,99,18.63,overcast clouds
28,Yulara,AU,-25.2406,130.9889,73.24,64,44,6.91,scattered clouds
29,Linxia,CN,35.6003,103.2064,26.6,33,93,3.02,overcast clouds
30,Bluff,NZ,-46.6,168.3333,57.79,71,10,25.93,clear sky
31,Kulhudhuffushi,MV,6.6221,73.07,80.08,71,33,8.23,scattered clouds
32,Moranbah,AU,-22.0016,148.0466,81.21,40,0,5.1,clear sky
33,Barrow,US,71.2906,-156.7887,-15.43,98,99,13.35,overcast clouds
34,Vaini,TO,-21.2,-175.2,84.36,89,20,10.36,few clouds
35,Ambon,ID,-3.6954,128.1814,77.14,88,40,3.44,scattered clouds
36,Takestan,IR,36.0696,49.6959,37.06,59,7,2.37,clear sky
37,Hithadhoo,MV,-0.6,73.0833,81.41,74,85,5.1,overcast clouds
38,Nikolskoye,RU,59.7035,30.7861,6.69,98,48,4.72,scattered clouds
39,Avarua,CK,-21.2078,-159.775,78.85,78,40,10.36,light rain
40,Harper,LR,4.375,-7.7169,80.64,79,28,7.02,scattered clouds
41,Jamestown,US,42.097,-79.2353,27.52,83,90,8.01,light snow
42,Muyezerskiy,RU,63.9333,31.65,12.2,92,100,12.53,overcast clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,90,21.85,light snow
44,Busselton,AU,-33.65,115.3333,56.08,82,66,9.08,broken clouds
45,Eyl,SO,7.9803,49.8164,75.9,77,86,16.84,overcast clouds
46,Kavieng,PG,-2.5744,150.7967,82.96,76,88,4.83,light rain
47,Winneba,GH,5.3511,-0.6231,82.87,69,79,4.76,broken clouds
48,Tabou,CI,4.423,-7.3528,80.53,78,26,6.17,scattered clouds
49,Xuddur,SO,4.1213,43.8894,74.07,68,88,14.72,overcast clouds
50,Mabaruma,GY,8.2,-59.7833,74.53,97,100,6.67,overcast clouds
51,Spearfish,US,44.4908,-103.8594,56.28,18,1,5.99,clear sky
52,Spornoye,RU,50.8448,37.2913,3.22,95,68,8.48,broken clouds
53,Hilo,US,19.7297,-155.09,72.28,52,90,5.75,light rain
54,Bengkulu,ID,-3.8004,102.2655,74.64,90,72,5.55,broken clouds
55,Bredasdorp,ZA,-34.5322,20.0403,65.52,82,95,10.36,light rain
56,Ambalavao,MG,-21.8333,46.9333,67.55,79,53,4.7,broken clouds
57,Talnakh,RU,69.4865,88.3972,7.21,96,100,14.0,light snow
58,Lata,PT,40.1629,-8.3327,59.41,81,100,6.82,overcast clouds
59,Saint-Pierre,RE,-21.3393,55.4781,78.44,87,0,4.61,clear sky
60,Gejiu,CN,23.306,103.1635,39.76,96,38,3.44,scattered clouds
61,Shahumyan,AM,39.9385,44.5697,21.52,51,28,1.21,scattered clouds
62,Airai,TL,-8.9266,125.4092,61.21,89,100,1.9,overcast clouds
63,Tautira,PF,-17.7333,-149.15,87.82,75,94,14.94,light rain
64,Coahuayana,MX,18.7333,-103.6833,85.26,49,0,5.84,clear sky
65,Upernavik,GL,72.7868,-56.1549,24.64,64,100,4.94,overcast clouds
66,Malakal,SS,9.5334,31.6605,80.76,29,38,9.37,scattered clouds
67,Butaritari,KI,3.0707,172.7902,81.05,74,82,5.68,broken clouds
68,Cayenne,GF,4.9333,-52.3333,77.04,92,75,0.0,light rain
69,Lamar,US,33.6668,-95.5836,65.52,58,0,8.34,clear sky
70,Chimbarongo,CL,-34.7,-71.05,86.38,23,3,12.03,clear sky
71,Turayf,SA,31.6725,38.6637,44.85,87,40,8.05,scattered clouds
72,Kedainiai,LT,55.2883,23.9747,7.27,94,8,4.47,clear sky
73,Sistranda,NO,63.7256,8.834,30.9,72,90,2.44,overcast clouds
74,Labrea,BR,-7.2586,-64.7981,74.8,99,100,1.57,overcast clouds
75,Victoria,HK,22.2855,114.1577,67.32,88,100,5.99,overcast clouds
76,Douentza,ML,14.9951,-2.9517,73.33,12,100,4.12,overcast clouds
77,Georgetown,MY,5.4112,100.3354,78.89,92,20,1.99,few clouds
78,Tambovka,RU,50.0969,128.0489,-29.09,100,52,4.5,broken clouds
79,Sesheke,ZM,-17.4759,24.2968,70.77,76,99,3.85,overcast clouds
80,Vangaindrano,MG,-23.35,47.6,74.59,95,55,6.26,broken clouds
81,Thompson,CA,55.7435,-97.8558,-18.24,69,40,2.3,scattered clouds
82,Teya,RU,60.3778,92.6267,-16.29,96,23,2.93,few clouds
83,Katsuura,JP,35.1333,140.3,45.19,53,100,11.88,overcast clouds
84,Huarmey,PE,-10.0681,-78.1522,72.09,76,16,8.61,few clouds
85,Chuy,UY,-33.6971,-53.4616,70.07,69,0,9.15,clear sky
86,Mayo,US,38.8876,-76.5119,46.17,43,2,14.0,clear sky
87,Tiksi,RU,71.6872,128.8694,-12.64,98,100,6.6,overcast clouds
88,Pevek,RU,69.7008,170.3133,-16.67,99,100,2.37,overcast clouds
89,Mitu,CO,1.1983,-70.1733,78.37,94,61,2.3,broken clouds
90,Bayburt,TR,40.2589,40.2278,11.68,78,60,1.39,broken clouds
91,Mzimba,MW,-11.9,33.6,68.29,69,100,3.8,overcast clouds
92,Sarkand,KZ,45.41,79.9186,36.54,71,100,7.31,overcast clouds
93,Iqaluit,CA,63.7506,-68.5145,-6.95,94,68,3.33,broken clouds
94,Kruisfontein,ZA,-34.0033,24.7314,62.89,93,85,4.47,light rain
95,Itarema,BR,-2.9248,-39.9167,81.54,73,68,14.81,broken clouds
96,Hobart,AU,-42.8794,147.3294,59.02,58,75,1.01,light rain
97,Kati,ML,12.7441,-8.0726,80.01,15,95,5.1,overcast clouds
98,Ichinoseki,JP,38.9167,141.1333,32.29,69,46,7.61,scattered clouds
99,Inirida,CO,3.8653,-67.9239,78.8,92,93,3.04,overcast clouds
100,Omsukchan,RU,62.5333,155.8,-20.78,97,100,6.44,overcast clouds
101,Dejen,ET,10.1667,38.1333,56.43,46,57,4.0,broken clouds
102,Kaputa,ZM,-8.4689,29.6619,69.6,90,100,4.45,light rain
103,Mubi,NG,10.2676,13.2644,69.3,29,2,4.74,clear sky
104,Sola,VU,-13.8833,167.55,81.27,89,75,0.0,broken clouds
105,Coquimbo,CL,-29.9533,-71.3436,65.93,72,0,12.66,clear sky
106,Chokurdakh,RU,70.6333,147.9167,-24.11,98,100,6.78,overcast clouds
107,Vaitape,PF,-16.5167,-151.75,82.29,68,68,15.26,broken clouds
108,Cotonou,BJ,6.3654,2.4183,84.18,58,20,5.75,dust
109,Bertoua,CM,4.5833,13.6833,74.26,40,8,3.76,clear sky
110,Helong,CN,42.5397,128.9972,9.59,85,92,1.41,overcast clouds
111,Togur,RU,58.3631,82.8265,8.01,91,31,11.9,scattered clouds
112,Palembang,ID,-2.9167,104.7458,75.11,95,99,0.54,light rain
113,Dalaba,GN,10.7,-12.25,66.13,25,97,4.38,overcast clouds
114,Jiuquan,CN,39.7432,98.5174,23.54,33,0,2.71,clear sky
115,Mahebourg,MU,-20.4081,57.7,79.25,94,75,10.36,light rain
116,Chardara,KZ,41.2547,67.9692,50.38,57,88,6.85,overcast clouds
117,Aklavik,CA,68.2191,-135.0107,-6.88,77,20,5.75,few clouds
118,Kavaratti,IN,10.5669,72.642,78.87,60,45,2.46,scattered clouds
119,Sulangan,PH,11.1373,123.7228,80.49,76,100,9.33,overcast clouds
120,Gamba,GA,-2.65,10.0,78.3,90,100,4.34,light rain
121,Alegrete,BR,-29.7831,-55.7919,89.38,23,100,16.37,overcast clouds
122,Bowen,AU,-20.0167,148.2333,75.42,61,0,5.44,clear sky
123,Biak,ID,-0.9131,122.8766,76.12,78,88,4.43,overcast clouds
124,Hamilton,US,39.1834,-84.5333,36.41,48,0,3.0,clear sky
125,Isangel,VU,-19.55,169.2667,84.31,84,40,0.0,scattered clouds
126,Atar,MR,20.5169,-13.0499,71.31,24,0,7.72,clear sky
127,Njeru,UG,0.4186,33.1731,65.93,88,81,1.28,broken clouds
128,Neuquen,AR,-38.9516,-68.0591,91.29,16,0,8.05,clear sky
129,Cabedelo,BR,-6.9811,-34.8339,83.07,78,71,12.5,broken clouds
130,Kismayo,SO,-0.3582,42.5454,79.92,83,97,10.0,overcast clouds
131,Luderitz,NA,-26.6481,15.1594,62.58,85,0,5.97,clear sky
132,Pisco,PE,-13.7,-76.2167,73.45,68,0,19.57,clear sky
133,Lavrentiya,RU,65.5833,-171.0,-2.76,92,100,18.9,snow
134,Carlisle,US,40.2015,-77.1889,37.62,47,11,5.99,few clouds
135,Cidreira,BR,-30.1811,-50.2056,71.37,72,2,14.45,clear sky
136,Tieli,CN,46.95,128.05,-33.48,100,13,1.92,few clouds
137,Mujiayingzi,CN,42.1167,118.7833,14.59,51,100,4.0,overcast clouds
138,Hornepayne,CA,49.2138,-84.7705,-1.79,94,89,2.53,overcast clouds
139,Sitka,US,57.0531,-135.33,28.02,66,20,7.18,few clouds
140,Lorengau,PG,-2.0226,147.2712,83.28,77,97,5.86,overcast clouds
141,Brae,GB,60.3964,-1.353,40.91,88,100,16.26,overcast clouds
142,Itacarambi,BR,-15.1022,-44.0919,73.44,93,47,2.71,scattered clouds
143,Narsaq,GL,60.9167,-46.05,37.51,53,100,20.09,overcast clouds
144,Dikson,RU,73.5069,80.5464,-1.98,83,96,15.75,overcast clouds
145,Ixtapa,MX,20.7,-105.2,85.03,38,0,6.22,clear sky
146,Lebu,CL,-37.6167,-73.65,60.89,79,1,12.73,clear sky
147,Hualmay,PE,-11.0964,-77.6139,71.69,75,23,8.52,few clouds
148,Souillac,MU,-20.5167,57.5167,79.36,88,84,10.13,broken clouds
149,Sarankhola,BD,22.3082,89.7897,58.53,69,0,3.71,clear sky
150,Pokhara,NP,28.2333,83.9833,49.78,28,4,5.91,clear sky
151,Siva,EG,29.2041,25.5195,53.47,43,98,5.06,overcast clouds
152,Rocha,UY,-34.4833,-54.3333,70.16,65,0,7.74,clear sky
153,Salalah,OM,17.0151,54.0924,71.89,48,0,3.69,clear sky
154,Adrar,MR,20.5022,-10.0711,68.5,27,97,9.93,overcast clouds
155,Portland,US,45.5234,-122.6762,50.61,93,100,3.0,light rain
156,Maxixe,MZ,-23.8597,35.3472,75.88,76,93,10.31,overcast clouds
157,Kahului,US,20.8947,-156.47,72.97,88,89,16.24,overcast clouds
158,Brive-La-Gaillarde,FR,45.25,1.5,43.29,23,100,2.89,overcast clouds
159,Bethel,US,41.3712,-73.414,42.04,62,10,3.0,clear sky
160,Oussouye,SN,12.485,-16.5469,80.6,20,96,8.39,overcast clouds
161,Bangassou,CF,4.7413,22.8184,73.69,45,100,3.0,overcast clouds
162,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.56,79,90,20.71,light snow
163,Longyearbyen,SJ,78.2186,15.6401,8.44,61,40,17.27,scattered clouds
164,Sigli,ID,5.3848,95.9609,76.53,82,85,3.24,overcast clouds
165,Wismar,DE,53.9,11.4667,28.09,96,97,5.01,overcast clouds
166,Payakumbuh,ID,-0.2202,100.6308,69.78,98,100,2.84,overcast clouds
167,Birao,CF,10.2849,22.7882,71.04,24,78,6.64,broken clouds
168,Shenjiamen,CN,29.9576,122.298,54.54,65,80,8.68,broken clouds
169,Fortuna,US,40.5982,-124.1573,58.66,82,20,5.01,light rain
170,Loviisa,FI,60.4566,26.2251,12.94,88,60,9.57,broken clouds
171,Pokrovka,KG,42.3414,78.0056,26.71,62,84,6.78,broken clouds
172,Khani,GE,41.9563,42.9566,24.37,97,99,1.5,light snow
173,Salamiyah,SY,35.0113,37.0532,46.76,76,83,4.83,broken clouds
174,Robertsport,LR,6.7533,-11.3686,81.93,79,100,8.52,overcast clouds
175,Bacolod,PH,10.6667,122.95,74.98,85,95,5.95,overcast clouds
176,Yellowknife,CA,62.456,-114.3525,-23.28,76,75,2.3,mist
177,Teguldet,RU,57.3064,88.1667,4.44,88,22,11.39,few clouds
178,Sabha,LY,27.0377,14.4283,51.31,30,100,1.63,overcast clouds
179,Dwarka,IN,22.2394,68.9678,71.35,79,83,6.42,broken clouds
180,Hofn,IS,64.2539,-15.2082,30.36,69,16,17.34,few clouds
181,Dingle,PH,10.9995,122.6711,73.38,94,99,5.95,overcast clouds
182,Batagay-Alyta,RU,67.8006,130.4114,-24.59,89,98,3.6,overcast clouds
183,Vanavara,RU,60.34,102.2797,-35.21,100,26,1.83,scattered clouds
184,Nuuk,GL,64.1835,-51.7216,36.21,80,90,6.91,overcast clouds
185,Buraydah,SA,26.326,43.975,57.31,22,97,6.49,overcast clouds
186,Lagoa,PT,39.05,-27.9833,59.76,71,78,33.8,broken clouds
187,Ilulissat,GL,69.2167,-51.1,37.42,41,45,25.32,scattered clouds
188,Palmas,BR,-10.2128,-48.3603,82.27,83,75,6.91,thunderstorm
189,Tambura,SS,5.6,27.4667,76.14,38,96,4.43,overcast clouds
190,Northam,GB,51.0333,-4.2167,49.01,93,100,12.71,overcast clouds
191,Mbini,GQ,1.574,9.6134,80.71,84,29,5.77,light rain
192,Banyo,CM,6.75,11.8167,69.75,37,6,2.77,clear sky
193,Vawkavysk,BY,53.1561,24.4513,13.51,85,6,2.82,clear sky
194,Gobabis,NA,-22.45,18.9667,71.6,18,2,16.37,clear sky
195,Panalingaan,PH,8.7842,117.4231,76.19,83,50,3.15,scattered clouds
196,Asau,RO,46.4333,26.4,20.32,92,51,4.27,broken clouds
197,Port-Cartier,CA,50.0334,-66.8654,26.17,95,100,22.08,snow
198,Poum,NC,-20.2333,164.0167,81.16,74,6,10.13,clear sky
199,Berlevag,NO,70.8578,29.0864,21.15,63,75,10.36,light shower snow
200,Hobyo,SO,5.3505,48.5268,78.4,81,87,14.41,overcast clouds
201,Maldonado,UY,-34.6667,-54.9167,71.22,54,0,9.53,clear sky
202,Raudeberg,NO,61.9875,5.1352,35.2,96,71,1.01,light snow
203,Xining,CN,36.6167,101.7667,26.15,30,100,1.48,overcast clouds
204,Arlit,NE,18.7369,7.3853,65.05,14,68,8.05,broken clouds
205,Geraldton,AU,-28.7667,114.6,66.61,94,5,9.22,clear sky
206,Leningradskiy,RU,69.3833,178.4167,-18.18,99,100,7.65,overcast clouds
207,Aljezur,PT,37.3191,-8.8033,58.77,97,91,7.65,overcast clouds
208,Mezhdurechensk,RU,53.6942,88.0603,6.58,96,14,4.03,few clouds
209,Manokwari,ID,-0.8667,134.0833,78.13,82,100,7.78,moderate rain
210,Lagos,NG,6.5833,3.75,76.46,63,45,1.43,scattered clouds
211,Roebourne,AU,-20.7833,117.1333,87.66,15,0,8.19,clear sky
212,Kailua,US,21.4022,-157.7394,76.75,69,96,8.01,light rain
213,Dutlwe,BW,-23.9833,23.9,69.03,69,20,10.92,light rain
214,Mahibadhoo,MV,3.7833,72.9667,81.55,74,100,10.56,overcast clouds
215,Zhangjiakou,CN,40.81,114.8794,25.0,49,89,0.76,overcast clouds
216,Sorland,NO,67.667,12.6934,38.34,81,100,24.49,overcast clouds
217,Jacqueville,CI,5.2052,-4.4146,84.11,81,94,10.45,overcast clouds
218,Usinsk,RU,65.9939,57.5281,-5.57,99,99,3.85,overcast clouds
219,Shahe,CN,39.2708,113.5478,28.99,40,29,3.76,scattered clouds
220,Amazar,RU,53.858,120.875,-23.24,93,97,3.71,overcast clouds
221,Khatanga,RU,71.9667,102.5,-35.99,97,15,2.86,few clouds
222,Kirkel,DE,49.2833,7.2333,30.33,79,0,3.44,clear sky
223,Magistralnyy,RU,56.1725,107.4458,-35.72,100,72,1.54,broken clouds
224,Asfi,MA,32.2994,-9.2372,62.6,93,23,8.25,few clouds
225,Kayes,ML,14.0,-11.0,81.1,14,95,5.26,overcast clouds
226,Villahermosa,MX,17.9833,-92.9167,77.07,71,90,6.91,overcast clouds
227,Arman,RU,59.7,150.1667,-1.61,77,100,14.9,overcast clouds
228,Jeremie,HT,18.65,-74.1167,78.64,80,65,2.33,broken clouds
229,Satao,PT,40.7418,-7.7329,53.08,92,92,4.54,overcast clouds
230,Charagua,BO,-19.8,-63.2167,67.48,94,100,5.23,moderate rain
231,Ketchikan,US,55.3422,-131.6461,28.62,80,4,8.28,clear sky
232,Narrabri,AU,-30.3167,149.7833,73.53,87,60,3.0,light rain
233,Ormara,PK,25.2088,64.6357,74.19,76,1,8.88,clear sky
234,Krasnoselkup,RU,65.7,82.4667,8.47,89,100,24.87,overcast clouds
235,Chatra,IN,24.2167,84.8667,48.25,42,0,4.27,clear sky
236,Votkinsk,RU,57.0486,53.9872,-6.23,99,86,2.75,overcast clouds
237,Srednekolymsk,RU,67.45,153.6833,-25.28,99,100,7.14,overcast clouds
238,Lambare,PY,-25.3468,-57.6065,81.48,67,93,8.5,overcast clouds
239,Naryan-Mar,RU,67.6713,53.087,-26.7,98,28,2.66,scattered clouds
240,Iquique,CL,-20.2208,-70.1431,68.38,78,42,4.34,scattered clouds
241,Akyab,MM,20.15,92.9,61.52,77,0,7.43,clear sky
242,Martinsburg,US,39.4562,-77.9639,40.93,44,1,12.66,clear sky
243,Khandyga,RU,62.6667,135.6,-56.78,100,89,1.57,overcast clouds
244,Fayaoue,NC,-20.65,166.5333,80.13,76,29,12.68,scattered clouds
245,Cherskiy,RU,68.75,161.3,-33.43,100,100,3.53,overcast clouds
246,Sambava,MG,-14.2667,50.1667,77.11,92,41,3.76,light rain
247,Alyangula,AU,-13.8483,136.4192,84.69,68,80,10.2,broken clouds
248,Eureka,US,40.8021,-124.1637,58.93,75,100,8.01,light rain
249,Burnie,AU,-41.0667,145.9167,60.94,52,22,2.55,few clouds
250,Kitoy,RU,52.6,103.9,-28.32,99,12,1.54,few clouds
251,Wright,US,45.1833,-93.9502,28.81,71,1,4.0,clear sky
252,Oranjemund,NA,-28.55,16.4333,62.85,84,0,2.84,clear sky
253,Inhambane,MZ,-23.865,35.3833,76.64,76,90,11.5,overcast clouds
254,Antalaha,MG,-14.9003,50.2788,77.31,92,82,4.18,broken clouds
255,Kamaishi,JP,39.2667,141.8833,32.9,58,32,8.01,scattered clouds
256,Saldanha,ZA,-33.0117,17.9442,63.99,88,100,5.86,overcast clouds
257,Nalut,LY,30.3333,10.85,51.91,36,100,1.95,overcast clouds
258,Kalmunai,LK,7.4167,81.8167,75.54,76,35,6.71,scattered clouds
259,Vanimo,PG,-2.6741,141.3028,76.42,95,100,13.22,light rain
260,Naze,JP,28.3667,129.4833,63.52,66,100,13.71,overcast clouds
261,Molteno,ZA,-31.3968,26.3625,55.38,86,100,6.64,overcast clouds
262,Lubumbashi,CD,-11.6609,27.4794,62.58,98,100,1.92,light rain
263,Belmonte,BR,-15.8631,-38.8828,79.3,86,97,13.06,overcast clouds
264,Tomigusuku,JP,26.185,127.675,67.77,94,75,13.8,light rain
265,Hearst,CA,49.6835,-83.6665,-3.3,96,100,2.51,overcast clouds
266,Salinopolis,BR,-0.6136,-47.3561,81.97,79,80,14.18,broken clouds
267,Ancud,CL,-41.8697,-73.8203,63.68,72,10,5.26,clear sky
268,Camaqua,BR,-30.8511,-51.8122,70.54,66,0,8.55,clear sky
269,Saint-Francois,FR,46.4154,3.9054,31.68,97,90,3.44,fog
270,Vao,NC,-22.6667,167.4833,75.51,71,4,10.27,clear sky
271,Dokka,NO,60.84,10.0618,23.07,96,98,3.13,overcast clouds
272,Kachug,RU,53.9606,105.8817,-31.58,99,21,1.81,few clouds
273,Floro,NO,61.5996,5.0328,37.47,100,75,8.05,broken clouds
274,Tecoanapa,MX,16.5167,-98.75,84.07,63,2,10.07,clear sky
275,Iquitos,PE,-3.7481,-73.2472,78.78,94,100,3.29,overcast clouds
276,Awjilah,LY,29.1081,21.2869,56.12,42,100,3.09,overcast clouds
277,Gubkin,RU,51.2817,37.5458,7.41,94,97,9.01,overcast clouds
278,Ust-Kuyga,RU,70.0167,135.6,-26.81,98,100,5.7,overcast clouds
279,Severobaykalsk,RU,55.65,109.3167,-9.42,80,8,7.94,clear sky
280,Araouane,ML,18.9048,-3.5265,70.74,15,100,9.75,overcast clouds
281,Ginda,IN,30.6945,78.4932,40.24,34,4,6.51,clear sky
282,Moa,CU,20.6569,-74.9403,78.37,79,100,3.89,overcast clouds
283,Kirakira,SB,-10.4544,161.9205,84.16,77,48,6.91,scattered clouds
284,Tiarei,PF,-17.5333,-149.3333,87.82,76,95,13.71,light rain
285,Lindi,TZ,-10.0,39.7167,75.81,92,87,1.32,overcast clouds
286,Severnyy-Kospashskiy,RU,59.0925,57.8008,-1.39,80,100,3.71,overcast clouds
